instancia,puntos,longitud_total,tiempo_ejecucion,exitoso,error
a280,280,2950,0.5939030647277832,SI,
berlin52,52,8450,0.018193721771240234,SI,
bier127,127,124739,0.23430156707763672,SI,
ch130,130,6634,0.0909876823425293,SI,
ch150,150,7063,0.206010103225708,SI,
d1291,1291,55089,24.89018750190735,SI,
d1655,1655,66366,68.45819783210754,SI,
d198,198,13519,0.6020197868347168,SI,
d493,493,36459,4.35953426361084,SI,
d657,657,51197,6.919326305389404,SI,
eil10,10,152,0.0005447864532470703,SI,
eil101,101,678,0.06982851028442383,SI,
eil20,20,238,0.0014781951904296875,SI,
eil51,51,464,0.013211727142333984,SI,
eil76,76,592,0.03781890869140625,SI,
fl1400,1400,20941,50.31573295593262,SI,
fl1577,1577,23858,53.26053833961487,SI,
fl3795,3795,29593,532.7759397029877,SI,
fl417,417,13008,2.412903070449829,SI,
fnl4461,4461,197020,690.3324544429779,SI,
gil262,262,2607,0.6187996864318848,SI,
kroA100,100,24042,0.06004047393798828,SI,
kroA150,150,29508,0.19306659698486328,SI,
kroA200,200,32044,0.2762479782104492,SI,
kroB100,100,23414,0.07623600959777832,SI,
kroB150,150,28080,0.18467044830322266,SI,
kroB200,200,31421,0.35141682624816895,SI,
kroC100,100,22519,0.03932905197143555,SI,
kroD100,100,22748,0.08250284194946289,SI,
kroE100,100,24410,0.05933713912963867,SI,
lin105,105,16230,0.09921765327453613,SI,
lin318,318,45566,1.3724792003631592,SI,
linhp318,318,46058,1.6206464767456055,SI,
nrw1379,1379,61878,65.59534454345703,SI,
p654,654,38055,9.124289751052856,SI,
pcb1173,1173,63356,21.489560842514038,SI,
pcb3038,3038,150567,244.2207670211792,SI,
pcb442,442,55424,2.5532991886138916,SI,
pr1002,1002,280158,24.8643856048584,SI,
pr107,107,45724,0.04841017723083496,SI,
pr124,124,61183,0.09740328788757324,SI,
pr136,136,105831,0.1508026123046875,SI,
pr144,144,68612,0.10696554183959961,SI,
pr152,152,77678,0.18881678581237793,SI,
pr226,226,88036,0.3399324417114258,SI,
pr2392,2392,408885,93.07421112060547,SI,
pr264,264,51651,0.4618651866912842,SI,
pr299,299,53216,0.960839033126831,SI,
pr439,439,120982,3.7540690898895264,SI,
pr76,76,117450,0.03467249870300293,SI,
rat195,195,2625,0.3357093334197998,SI,
rat575,575,7434,3.4462602138519287,SI,
rat783,783,9532,11.426016330718994,SI,
rat99,99,1385,0.09125566482543945,SI,
rd100,100,8658,0.08659934997558594,SI,
rd400,400,16667,1.9958617687225342,SI,
rl1304,1304,281449,28.273507833480835,SI,
rl1323,1323,296416,32.561503171920776,SI,
rl1889,1889,346351,98.59689259529114,SI,
rl5915,5915,611833,1330.941688299179,SI,
rl5934,5934,597583,1264.4795153141022,SI,
st70,70,711,0.022447824478149414,SI,
ts225,225,139495,0.4616663455963135,SI,
tsp225,225,4296,0.5791447162628174,SI,
u1060,1060,239478,30.279643774032593,SI,
u1432,1432,164222,32.057056188583374,SI,
u159,159,48755,0.2288975715637207,SI,
u1817,1817,63206,54.86752533912659,SI,
u2152,2152,70191,116.80903816223145,SI,
u2319,2319,240450,134.75218033790588,SI,
u574,574,40134,6.503167629241943,SI,
u724,724,45677,10.040808916091919,SI,
vm1084,1084,265550,28.021005630493164,SI,
vm1748,1748,374424,77.34455251693726,SI,
